,0,1,2,3,4,5,6,7,8
0,https://domestic-order-site.yanolja.com/review/properties/3001626,https://domestic-order-site.yanolja.com/review/properties/1000104509,https://domestic-order-site.yanolja.com/review/properties/3002318,https://domestic-order-site.yanolja.com/review/properties/1000112790,https://domestic-order-site.yanolja.com/review/properties/3001066,https://domestic-order-site.yanolja.com/review/properties/3014337,https://domestic-order-site.yanolja.com/review/properties/3001472,https://domestic-order-site.yanolja.com/review/properties/3001454,https://domestic-order-site.yanolja.com/review/properties/1000112109
1,https://domestic-order-site.yanolja.com/review/properties/3000741,https://domestic-order-site.yanolja.com/review/properties/1000102199,https://domestic-order-site.yanolja.com/review/properties/1000111295,https://domestic-order-site.yanolja.com/review/properties/3001535,https://domestic-order-site.yanolja.com/review/properties/3000606,https://domestic-order-site.yanolja.com/review/properties/1000114137,https://domestic-order-site.yanolja.com/review/properties/3000913,https://domestic-order-site.yanolja.com/review/properties/3001017,https://domestic-order-site.yanolja.com/review/properties/3000852
2,https://domestic-order-site.yanolja.com/review/properties/1000112780,https://domestic-order-site.yanolja.com/review/properties/3001515,https://domestic-order-site.yanolja.com/review/properties/3001246,https://domestic-order-site.yanolja.com/review/properties/3013821,https://domestic-order-site.yanolja.com/review/properties/3009780,https://domestic-order-site.yanolja.com/review/properties/1000112708,https://domestic-order-site.yanolja.com/review/properties/1000112882,https://domestic-order-site.yanolja.com/review/properties/3013931,https://domestic-order-site.yanolja.com/review/properties/1000103224
3,https://domestic-order-site.yanolja.com/review/properties/3014025,https://domestic-order-site.yanolja.com/review/properties/3017359,https://domestic-order-site.yanolja.com/review/properties/3009100,https://domestic-order-site.yanolja.com/review/properties/1000105400,https://domestic-order-site.yanolja.com/review/properties/3000714,https://domestic-order-site.yanolja.com/review/properties/1000110804,https://domestic-order-site.yanolja.com/review/properties/1000111694,https://domestic-order-site.yanolja.com/review/properties/1000099450,https://domestic-order-site.yanolja.com/review/properties/3008520
4,https://domestic-order-site.yanolja.com/review/properties/3000607,https://domestic-order-site.yanolja.com/review/properties/1000111341,https://domestic-order-site.yanolja.com/review/properties/10040058,https://domestic-order-site.yanolja.com/review/properties/3001630,https://domestic-order-site.yanolja.com/review/properties/3012161,https://domestic-order-site.yanolja.com/review/properties/3014141,https://domestic-order-site.yanolja.com/review/properties/1000102039,https://domestic-order-site.yanolja.com/review/properties/3014334,https://domestic-order-site.yanolja.com/review/properties/1000112541
5,https://domestic-order-site.yanolja.com/review/properties/3001137,https://domestic-order-site.yanolja.com/review/properties/1000101872,https://domestic-order-site.yanolja.com/review/properties/3001461,https://domestic-order-site.yanolja.com/review/properties/1000108009,https://domestic-order-site.yanolja.com/review/properties/3001937,https://domestic-order-site.yanolja.com/review/properties/3013592,https://domestic-order-site.yanolja.com/review/properties/10042146,https://domestic-order-site.yanolja.com/review/properties/1000113146,https://domestic-order-site.yanolja.com/review/properties/1000106274
6,https://domestic-order-site.yanolja.com/review/properties/1000110057,https://domestic-order-site.yanolja.com/review/properties/1000102506,https://domestic-order-site.yanolja.com/review/properties/3001062,https://domestic-order-site.yanolja.com/review/properties/10041926,https://domestic-order-site.yanolja.com/review/properties/3017361,https://domestic-order-site.yanolja.com/review/properties/3001429,https://domestic-order-site.yanolja.com/review/properties/10040689,https://domestic-order-site.yanolja.com/review/properties/3017061,https://domestic-order-site.yanolja.com/review/properties/1000104505
7,https://domestic-order-site.yanolja.com/review/properties/1000105638,https://domestic-order-site.yanolja.com/review/properties/1000104646,https://domestic-order-site.yanolja.com/review/properties/3010500,https://domestic-order-site.yanolja.com/review/properties/3016028,https://domestic-order-site.yanolja.com/review/properties/3001752,https://domestic-order-site.yanolja.com/review/properties/1000114467,https://domestic-order-site.yanolja.com/review/properties/3015074,https://domestic-order-site.yanolja.com/review/properties/3015430,https://domestic-order-site.yanolja.com/review/properties/3010862
8,https://domestic-order-site.yanolja.com/review/properties/10041224,https://domestic-order-site.yanolja.com/review/properties/1000103535,https://domestic-order-site.yanolja.com/review/properties/3001292,https://domestic-order-site.yanolja.com/review/properties/3001578,https://domestic-order-site.yanolja.com/review/properties/1000102040,https://domestic-order-site.yanolja.com/review/properties/3016489,https://domestic-order-site.yanolja.com/review/properties/3001646,https://domestic-order-site.yanolja.com/review/properties/3015462,https://domestic-order-site.yanolja.com/review/properties/3001728
9,https://domestic-order-site.yanolja.com/review/properties/10041161,https://domestic-order-site.yanolja.com/review/properties/10041490,https://domestic-order-site.yanolja.com/review/properties/3006723,https://domestic-order-site.yanolja.com/review/properties/1000102533,https://domestic-order-site.yanolja.com/review/properties/10040706,https://domestic-order-site.yanolja.com/review/properties/3016069,https://domestic-order-site.yanolja.com/review/properties/3010326,https://domestic-order-site.yanolja.com/review/properties/3010712,https://domestic-order-site.yanolja.com/review/properties/3000899
